,name,state,population,poverty_%,la_kids_%,la_novehicle_%,la_snap_%,fips
416,Casey County,KY,15955,26.4,21.67,1.65,8.19,21045
417,Cass County,IA,13956,11.58,16.58,1.26,4.16,19029
418,Cass County,IL,13642,12.96,18.39,1.51,3.53,17017
419,Cass County,IN,38966,14.54,20.55,1.64,2.79,18017
420,Cass County,MI,52293,12.13,20.37,1.11,3.82,26027
421,Cass County,MN,28567,14.64,20.04,1.88,4.29,27021
422,Cass County,MO,99478,10.03,22.8,0.83,2.72,29037
423,Cass County,ND,149778,12.0,15.89,1.21,1.79,38017
424,Cass County,NE,25241,6.45,23.75,1.14,1.91,31025
425,Cass County,TX,30464,19.67,20.51,1.99,5.96,48067
426,Cassia County,ID,22952,14.6,29.57,1.15,3.13,16031
427,Castro County,TX,8062,15.82,20.71,1.03,3.09,48069
428,Caswell County,NC,23719,19.8,20.24,3.46,6.24,37033
429,Catahoula Parish,LA,10407,22.91,19.04,1.91,4.27,22025
430,Catawba County,NC,154358,13.55,21.23,1.63,4.57,37035
431,Catoosa County,GA,63942,9.8,21.74,0.95,3.0,13047
432,Catron County,NM,3725,22.95,15.84,0.0,2.63,35003
433,Cattaraugus County,NY,80317,16.58,18.41,2.76,4.95,36009
434,Cavalier County,ND,3993,9.94,16.38,0.48,0.68,38019
435,Cayuga County,NY,80026,12.23,18.23,2.56,4.03,36011
436,Cecil County,MD,101108,9.52,22.03,1.72,3.63,24015
437,Cedar County,IA,18499,6.44,20.07,0.81,1.66,19031
438,Cedar County,MO,13982,18.46,20.91,2.2,7.38,29039
439,Cedar County,NE,8852,9.17,19.48,0.64,1.49,31027
440,Centre County,PA,153990,23.98,14.14,1.72,1.91,42027
441,Cerro Gordo County,IA,44151,11.36,15.69,1.61,3.57,19033
442,Chaffee County,CO,17809,10.07,13.8,1.64,1.74,8015
443,Chambers County,AL,34215,16.64,19.03,2.41,5.03,1017
444,Chambers County,TX,35096,13.03,26.02,1.34,2.15,48071
445,Champaign County,IL,201081,23.82,14.87,1.97,2.54,17019
446,Champaign County,OH,40097,11.2,21.46,1.71,3.49,39021
447,Chariton County,MO,7831,11.96,18.69,1.12,2.81,29041
448,Charles City County,VA,7256,13.08,17.93,2.55,4.36,51036
449,Charles County,MD,146551,6.29,22.42,0.93,2.28,24017
450,Charles Mix County,SD,9129,19.82,20.86,1.04,3.3,46023
451,Charleston County,SC,350209,15.62,15.59,1.7,2.41,45019
452,Charlevoix County,MI,25949,10.8,18.18,1.48,2.88,26029
453,Charlotte County,FL,159978,11.11,12.54,1.37,3.22,12015
454,Charlotte County,VA,12586,24.53,21.71,3.46,6.4,51037
455,Charlottesville city,VA,43475,27.19,7.78,2.16,2.13,51540
456,Charlton County,GA,12171,24.7,19.66,2.42,5.86,13049
457,Chase County,KS,2790,12.57,22.04,2.65,3.69,20017
458,Chase County,NE,3966,8.42,12.3,0.63,0.86,31029
459,Chatham County,GA,265128,16.84,17.29,2.09,3.66,13051
460,Chatham County,NC,63505,12.32,19.52,1.62,3.55,37037
461,Chattahoochee County,GA,11267,14.56,27.1,1.36,2.57,13053
462,Chattooga County,GA,26015,20.29,20.01,1.71,5.81,13055
463,Chautauqua County,KS,3669,17.03,14.39,2.37,4.06,20019
464,Chautauqua County,NY,134905,19.18,16.66,2.98,5.63,36013
465,Chaves County,NM,65645,21.2,20.92,0.94,5.71,35005
466,Cheatham County,TN,39105,11.5,23.29,1.0,3.95,47021
467,Cheboygan County,MI,26152,14.82,18.31,1.54,4.67,26031
468,Chelan County,WA,72453,11.63,17.64,1.09,2.27,53007
469,Chemung County,NY,88830,14.95,17.15,2.07,3.48,36015
470,Chenango County,NY,50477,14.31,18.5,1.78,4.85,36017
471,Cherokee County,AL,25989,15.13,20.72,1.53,6.31,1019
472,Cherokee County,GA,214346,8.22,23.22,0.72,1.44,13057
473,Cherokee County,IA,12072,9.92,16.88,1.47,3.45,19035
474,Cherokee County,KS,21603,13.82,21.07,2.28,3.78,20021
475,Cherokee County,NC,27444,16.74,18.75,1.96,5.57,37039
476,Cherokee County,OK,46987,20.98,22.18,2.06,4.6,40021
477,Cherokee County,SC,55342,20.76,22.12,2.83,6.02,45021
478,Cherokee County,TX,50845,17.89,23.01,1.55,4.69,48073
479,Cherry County,NE,5713,10.34,18.69,1.58,3.06,31031
480,Chesapeake city,VA,222209,9.02,19.43,1.02,2.02,51550
481,Cheshire County,NH,77117,10.61,17.31,1.39,2.63,33005
482,Chester County,PA,498886,6.96,21.68,1.25,1.35,42029
483,Chester County,SC,33140,20.96,21.95,2.86,4.91,45023
484,Chester County,TN,17131,18.83,20.34,0.95,4.45,47023
485,Chesterfield County,SC,46734,22.65,22.98,3.43,6.68,45025
486,Chesterfield County,VA,316236,7.28,22.71,0.88,2.0,51041
487,Cheyenne County,CO,1836,11.46,21.41,0.76,4.03,8017
488,Cheyenne County,KS,2726,9.48,13.5,0.77,0.48,20023
489,Cheyenne County,NE,9998,9.89,15.31,1.04,2.43,31033
490,Chickasaw County,IA,12439,7.43,18.84,1.39,2.04,19037
491,Chickasaw County,MS,17392,21.21,22.14,2.64,6.28,28017
492,Chicot County,AR,11800,28.7,18.63,5.2,7.04,5017
493,Childress County,TX,7041,13.67,19.36,2.47,4.1,48075
494,Chilton County,AL,43643,18.52,23.92,1.72,6.47,1021
495,Chippewa County,MI,38520,18.23,16.04,1.72,3.65,26033
496,Chippewa County,MN,12441,9.98,17.35,1.82,1.79,27023
497,Chippewa County,WI,62415,11.12,19.91,1.33,3.26,55017
498,Chisago County,MN,53887,5.71,24.6,1.57,2.45,27025
499,Chittenden County,VT,156545,12.48,15.76,1.42,2.32,50007
500,Choctaw County,AL,13859,21.97,21.91,3.87,10.02,1023
501,Choctaw County,MS,8547,23.52,22.58,2.49,7.0,28019
502,Choctaw County,OK,15205,29.04,22.33,3.1,10.51,40023
503,Chouteau County,MT,5813,18.85,21.92,1.5,3.97,30015
504,Chowan County,NC,14793,19.46,21.69,3.87,8.54,37041
505,Christian County,IL,34800,12.96,14.82,1.34,3.58,17021
506,Christian County,KY,73955,19.43,25.18,2.57,5.16,21047
507,Christian County,MO,77422,10.0,23.58,0.9,2.81,29043
508,Churchill County,NV,24877,12.64,21.42,1.28,3.51,32001
509,Cibola County,NM,27213,26.45,21.39,2.11,8.1,35006
510,Cimarron County,OK,2475,16.44,13.82,0.28,1.7,40025
511,Citrus County,FL,141236,16.66,14.71,2.31,5.33,12017
512,Clackamas County,OR,375992,8.54,17.57,1.18,2.89,41005
513,Claiborne County,MS,9604,43.8,20.6,3.11,7.85,28021
514,Claiborne County,TN,32213,23.72,19.77,2.06,7.41,47025
515,Claiborne Parish,LA,17195,29.78,16.47,2.96,7.23,22027
516,Clallam County,WA,71404,15.95,15.05,1.94,4.9,53009
517,Clare County,MI,30926,23.42,17.45,2.73,7.42,26035
518,Clarendon County,SC,34971,23.4,20.37,3.55,8.54,45027
519,Clarion County,PA,39988,16.17,17.5,2.91,4.9,42031
520,Clark County,AR,22995,19.94,16.25,1.91,3.89,5019
521,Clark County,ID,982,19.68,31.36,0.51,9.06,16033
522,Clark County,IL,16335,12.94,21.37,0.96,5.25,17023
523,Clark County,IN,110232,10.12,18.93,1.45,2.09,18019
524,Clark County,KS,2215,11.04,25.24,0.81,2.44,20025
525,Clark County,KY,35613,15.72,18.56,1.75,4.61,21049
526,Clark County,MO,7139,13.46,18.32,1.92,2.59,29045
527,Clark County,NV,1951269,14.8,14.53,1.54,2.47,32003
528,Clark County,OH,138333,16.22,18.4,2.22,5.58,39023
529,Clark County,SD,3691,13.1,18.99,0.95,1.33,46025
530,Clark County,WA,425363,9.41,18.79,0.83,2.95,53011
531,Clark County,WI,34690,12.63,26.23,3.17,2.72,55019
532,Clarke County,AL,25833,25.35,23.08,3.96,7.25,1025
533,Clarke County,GA,116714,34.83,14.79,2.63,4.36,13059
534,Clarke County,IA,9286,14.42,17.11,0.73,3.09,19039
535,Clarke County,MS,16732,19.35,22.82,2.01,6.56,28023
536,Clarke County,VA,14034,9.96,19.42,1.36,1.33,51043
537,Clatsop County,OR,37039,10.55,15.56,2.14,4.79,41007
538,Clay County,AL,13932,18.83,20.24,1.34,5.46,1027
539,Clay County,AR,16083,22.61,18.4,2.83,5.4,5021
540,Clay County,FL,190865,10.98,22.07,0.8,3.28,12019
541,Clay County,GA,3183,41.11,16.05,3.74,12.28,13061
542,Clay County,IA,16667,12.11,16.51,1.96,3.68,19041
543,Clay County,IL,13815,16.09,19.54,1.46,5.09,17025
544,Clay County,IN,26890,14.22,19.25,1.13,3.71,18021
545,Clay County,KS,8535,7.68,18.42,0.74,1.66,20027
546,Clay County,KY,21730,38.32,20.69,4.18,11.5,21051
547,Clay County,MN,58999,13.02,18.47,1.93,2.03,27027
548,Clay County,MO,221939,8.06,21.72,1.21,2.05,29047
549,Clay County,MS,20634,23.18,21.98,2.4,5.5,28025
550,Clay County,NC,10587,15.72,18.37,2.92,5.88,37043
551,Clay County,NE,6542,11.4,18.05,0.52,2.02,31035
552,Clay County,SD,13864,27.16,15.29,1.19,3.48,46027
553,Clay County,TN,7861,26.7,19.01,1.17,6.77,47027
554,Clay County,TX,10752,13.71,21.52,0.77,4.53,48077
555,Clay County,WV,9386,28.18,23.27,3.17,11.89,54015
556,Clayton County,GA,259424,20.04,22.8,1.7,6.04,13063
557,Clayton County,IA,18129,9.03,18.79,1.78,3.32,19043
558,Clear Creek County,CO,9088,5.5,16.19,0.8,2.42,8019
559,Clearfield County,PA,81642,14.83,16.79,2.14,5.84,42033
560,Clearwater County,ID,8761,13.3,13.19,0.92,2.86,16035
561,Clearwater County,MN,8695,16.88,22.1,2.55,4.95,27029
562,Cleburne County,AL,14972,18.87,21.91,1.44,5.1,1029
563,Cleburne County,AR,25970,14.52,17.6,1.09,2.98,5023
564,Clermont County,OH,197363,9.49,23.23,1.47,2.99,39025
565,Cleveland County,AR,8689,19.39,22.06,1.75,4.9,5025
566,Cleveland County,NC,98078,20.04,20.8,2.55,6.24,37045
567,Cleveland County,OK,255755,13.96,16.82,0.84,2.34,40027
568,Clinch County,GA,6798,39.49,23.29,2.77,7.18,13065
569,Clinton County,IA,49116,12.5,18.78,2.26,4.2,19045
570,Clinton County,IL,37762,9.6,19.76,1.55,2.74,17027
571,Clinton County,IN,33224,12.64,19.45,1.31,2.17,18023
572,Clinton County,KY,10272,23.25,22.37,2.77,9.74,21053
573,Clinton County,MI,75382,10.45,23.03,0.91,2.44,26037
574,Clinton County,MO,20743,10.93,19.85,0.82,2.77,29049
575,Clinton County,NY,82128,14.88,16.23,2.26,4.92,36019
576,Clinton County,OH,42040,13.11,21.98,1.86,4.91,39027
577,Clinton County,PA,39238,17.91,17.55,2.4,3.74,42035
578,Cloud County,KS,9533,12.1,17.77,1.71,2.55,20029
579,Coahoma County,MS,26151,33.13,21.77,3.24,9.5,28027
580,Coal County,OK,5925,22.9,21.86,2.65,5.69,40029
581,Cobb County,GA,688078,10.04,19.97,0.93,2.07,13067
582,Cochise County,AZ,131346,17.68,19.79,1.69,5.17,4003
583,Cochran County,TX,3127,23.86,13.72,0.51,2.3,48079
584,Cocke County,TN,35662,25.11,19.14,1.75,8.84,47029
585,Coconino County,AZ,134421,21.1,18.74,1.18,3.07,4005
586,Codington County,SD,27227,12.46,20.68,1.38,2.92,46029
587,Coffee County,AL,49948,15.49,21.1,1.92,4.43,1031
588,Coffee County,GA,42356,23.03,23.09,2.79,5.43,13069
589,Coffee County,TN,52796,14.08,20.39,1.19,4.66,47031
590,Coffey County,KS,8601,11.93,22.56,1.21,3.03,20031
591,Coke County,TX,3320,15.63,21.05,1.66,3.55,48081
592,Colbert County,AL,54428,16.52,19.49,2.29,4.31,1033
593,Cole County,MO,75990,10.59,20.87,2.27,3.0,29051
594,Coleman County,TX,8895,19.31,16.59,1.39,3.59,48083
595,Coles County,IL,53873,24.39,14.91,2.55,5.45,17029
596,Colfax County,NE,10515,12.51,21.5,1.01,2.03,31037
597,Colfax County,NM,13750,23.65,18.59,2.62,7.68,35007
598,Colleton County,SC,38892,21.28,22.48,1.63,6.64,45029
599,Collier County,FL,321520,12.24,14.67,1.45,2.33,12021
600,Collin County,TX,782341,6.74,20.36,0.65,0.81,48085
601,Collingsworth County,TX,3057,15.94,18.48,1.34,5.3,48087
602,Colonial Heights city,VA,17411,13.44,16.39,1.69,3.16,51570
603,Colorado County,TX,20874,10.87,17.64,1.48,1.75,48089
604,Colquitt County,GA,45498,25.32,23.69,2.28,6.59,13071
605,Columbia County,AR,24552,25.17,18.59,1.3,5.38,5027
606,Columbia County,FL,67531,17.97,19.54,1.57,6.17,12023
607,Columbia County,GA,124053,8.83,22.6,0.64,1.46,13073
608,Columbia County,NY,63096,11.99,19.42,2.74,4.25,36021
609,Columbia County,OR,49351,11.98,17.5,1.61,5.14,41009
610,Columbia County,PA,67295,16.67,14.16,1.33,2.95,42037
611,Columbia County,WA,4078,11.56,17.85,2.8,4.61,53013
612,Columbia County,WI,56833,8.22,21.39,1.76,3.87,55021
613,Columbiana County,OH,107841,14.69,18.38,1.94,4.83,39029
614,Columbus County,NC,58098,23.7,20.93,2.48,8.0,37047
615,Colusa County,CA,21419,13.76,20.58,1.15,3.58,6011
616,Comal County,TX,108472,8.38,21.37,1.02,1.43,48091
617,Comanche County,KS,1891,6.21,14.07,0.21,0.42,20033
618,Comanche County,OK,124098,16.28,20.09,2.1,4.05,40031
619,Comanche County,TX,13974,16.17,19.99,1.47,3.16,48093
620,Concho County,TX,4087,7.27,9.35,1.03,0.76,48095
621,Concordia Parish,LA,20822,26.86,21.58,3.49,5.25,22029
622,Conecuh County,AL,13228,22.76,20.87,2.59,7.02,1035
623,Conejos County,CO,8256,22.52,24.09,1.72,7.03,8021
624,Contra Costa County,CA,1049025,9.11,15.47,0.95,1.15,6013
625,Converse County,WY,13833,8.26,20.11,0.65,2.3,56009
626,Conway County,AR,21273,18.23,21.31,2.21,4.49,5029
627,Cook County,GA,17212,24.05,23.62,2.1,5.92,13075
628,Cook County,IL,5194675,15.44,9.64,1.6,2.07,17031
629,Cook County,MN,5176,13.13,13.52,1.95,2.22,27031
630,Cooke County,TX,38437,14.21,20.27,1.63,3.17,48097
631,Cooper County,MO,17601,11.49,18.57,1.6,3.2,29053
632,Coos County,NH,33055,13.33,15.63,2.6,4.67,33007
633,Coos County,OR,63043,17.15,13.44,1.94,7.33,41011
634,Coosa County,AL,11539,14.19,19.41,1.72,4.08,1037
635,Copiah County,MS,29449,23.85,23.26,2.14,6.44,28029
636,Corson County,SD,4050,44.33,26.02,3.28,6.05,46031
637,Cortland County,NY,49336,16.7,14.96,1.31,2.65,36023
638,Coryell County,TX,75388,13.79,26.8,1.12,3.23,48099
639,Coshocton County,OH,36901,16.6,22.69,3.44,6.14,39031
640,Costilla County,CO,3524,29.99,20.89,3.89,12.97,8023
641,Cottle County,TX,1505,31.39,23.26,4.12,11.23,48101
642,Cotton County,OK,6193,17.36,19.99,2.03,5.3,40033
643,Cottonwood County,MN,11687,12.39,14.61,0.83,2.57,27033
644,Covington County,AL,37765,18.44,20.14,1.78,5.09,1039
645,Covington County,MS,19568,24.11,24.01,1.26,7.41,28031
646,Covington city,VA,5961,14.86,14.49,2.43,4.86,51580
647,Coweta County,GA,127317,10.86,24.96,1.29,2.81,13077
648,Cowley County,KS,36311,15.5,19.01,1.66,4.07,20035
649,Cowlitz County,WA,102410,16.3,19.59,1.56,6.21,53015
650,Craig County,OK,15029,18.66,19.72,1.9,4.1,40035
651,Craig County,VA,5190,8.54,18.84,2.24,4.59,51045
652,Craighead County,AR,96443,19.49,20.01,1.98,4.18,5031
653,Crane County,TX,4375,7.62,14.56,0.8,1.1,48103
654,Craven County,NC,103505,15.31,19.28,1.51,3.92,37049
655,Crawford County,AR,61948,15.93,24.26,1.34,4.27,5033
656,Crawford County,GA,12630,19.67,22.71,2.25,6.35,13079
657,Crawford County,IA,17096,15.94,19.91,1.3,3.39,19047
658,Crawford County,IL,19817,11.77,17.73,1.54,5.09,17033
659,Crawford County,IN,10713,15.52,23.05,1.78,5.17,18025
660,Crawford County,KS,39134,21.17,18.38,2.08,3.67,20037
661,Crawford County,MI,14074,15.55,18.11,2.09,6.94,26039
662,Crawford County,MO,24696,19.45,20.86,1.11,5.02,29055
663,Crawford County,OH,43784,14.82,20.85,2.47,5.22,39033
664,Crawford County,PA,88765,14.09,20.09,2.83,4.98,42039
665,Crawford County,WI,16644,13.01,21.32,2.46,5.31,55023
666,Creek County,OK,69967,15.55,21.6,1.17,4.14,40037
667,Crenshaw County,AL,13906,15.73,21.25,2.39,6.8,1041
668,Crisp County,GA,23439,30.14,21.11,3.49,8.06,13081
669,Crittenden County,AR,50902,22.71,23.21,3.05,6.12,5035
670,Crittenden County,KY,9315,16.38,18.29,2.96,3.4,21055
671,Crockett County,TN,14586,19.42,19.16,1.54,5.69,47033
672,Crockett County,TX,3719,20.76,20.33,1.08,3.01,48105
673,Crook County,OR,20978,14.49,15.03,0.65,6.38,41013
674,Crook County,WY,7083,6.75,17.27,0.79,0.47,56011
675,Crosby County,TX,6059,20.37,18.29,1.37,5.05,48107
676,Cross County,AR,17870,17.16,21.21,2.47,4.44,5037
677,Crow Wing County,MN,62500,10.52,20.0,1.76,2.34,27035
678,Crowley County,CO,5823,28.36,9.82,0.82,3.02,8025
679,Culberson County,TX,2398,31.39,26.19,2.13,5.88,48109
680,Cullman County,AL,80406,15.83,22.0,1.49,4.37,1043
681,Culpeper County,VA,46689,8.15,22.03,1.38,2.4,51047
682,Cumberland County,IL,11048,14.0,18.25,1.31,3.41,17035
683,Cumberland County,KY,6856,21.55,19.4,2.89,5.76,21057
684,Cumberland County,ME,281674,9.82,17.14,1.45,2.2,23005
685,Cumberland County,NC,319431,18.18,21.6,1.91,5.12,37051
686,Cumberland County,NJ,156898,17.87,16.28,1.98,3.53,34011
687,Cumberland County,PA,235406,7.91,16.66,1.72,2.18,42041
688,Cumberland County,TN,56053,15.58,17.75,1.9,6.32,47035
689,Cumberland County,VA,10052,19.45,22.75,3.53,8.17,51049
690,Cuming County,NE,9139,7.13,17.44,1.33,1.33,31039
691,Currituck County,NC,23547,10.03,22.63,0.99,3.02,37053
692,Curry County,NM,48376,21.2,21.06,0.94,4.06,35009
693,Curry County,OR,22364,14.73,11.95,1.91,5.61,41015
694,Custer County,CO,4255,15.31,13.77,0.87,2.7,8027
695,Custer County,ID,4368,20.57,13.92,0.14,2.04,16037
696,Custer County,MT,11699,9.96,15.67,1.87,2.03,30017
697,Custer County,NE,10939,11.28,19.11,1.62,2.43,31041
698,Custer County,OK,27469,18.49,15.61,0.92,2.52,40039
699,Custer County,SD,8216,13.0,16.69,0.93,2.59,46033
700,Cuyahoga County,OH,1280122,18.37,13.35,2.49,3.69,39035
701,Dade County,GA,16633,15.15,19.51,2.27,3.54,13083
702,Dade County,MO,7883,22.47,18.94,1.21,4.33,29057
703,Daggett County,UT,1059,4.66,22.95,1.98,0.0,49009
704,Dakota County,MN,398552,6.41,21.29,1.05,1.39,27037
705,Dakota County,NE,21006,16.19,24.28,1.49,3.7,31043
706,Dale County,AL,50251,18.54,23.16,1.98,6.98,1045
707,Dallam County,TX,6703,13.75,27.14,1.0,2.64,48111
708,Dallas County,AL,43820,31.23,21.74,4.21,9.66,1047
709,Dallas County,AR,8116,14.26,20.02,3.92,6.07,5039
710,Dallas County,IA,66135,6.24,25.14,1.02,2.0,19049
711,Dallas County,MO,16777,15.07,22.85,1.97,4.49,29059
712,Dallas County,TX,2368139,16.57,16.54,1.32,2.72,48113
713,Dane County,WI,488073,12.39,17.16,1.35,2.37,55025
714,Daniels County,MT,1751,4.17,9.31,0.46,0.17,30019
715,Danville city,VA,43055,21.99,12.87,3.84,6.07,51590
716,Dare County,NC,33920,8.61,15.9,1.08,2.89,37055
717,Darke County,OH,52959,10.13,21.6,1.47,2.61,39037
718,Darlington County,SC,68681,22.36,20.95,3.0,6.81,45031
719,Dauphin County,PA,268100,12.87,17.74,2.59,3.36,42043
720,Davidson County,NC,162878,15.65,21.44,1.83,5.24,37057
721,Davidson County,TN,626681,16.57,15.68,1.77,3.44,47037
722,Davie County,NC,41240,13.69,23.2,1.14,3.78,37059
723,Daviess County,IN,31648,12.72,25.84,5.22,2.67,18027
724,Daviess County,KY,96656,16.16,19.15,1.65,3.06,21059
725,Daviess County,MO,8433,12.98,21.13,2.37,2.67,29061
726,Davis County,IA,8753,12.39,24.4,3.88,2.81,19051
727,Davis County,UT,306479,5.71,26.68,0.6,1.18,49011
728,Davison County,SD,19504,12.76,18.73,2.11,3.73,46035
729,Dawes County,NE,9182,14.38,13.57,1.61,1.74,31045
730,Dawson County,GA,22330,8.64,20.85,0.76,3.74,13085
731,Dawson County,MT,8966,9.54,19.35,0.77,2.98,30021
732,Dawson County,NE,24326,13.03,23.65,1.8,2.67,31047
733,Dawson County,TX,13833,22.29,18.07,2.02,3.17,48115
734,Day County,SD,5710,19.09,17.15,0.82,4.03,46037
735,De Baca County,NM,2022,16.76,16.22,3.02,5.19,35011
736,De Soto Parish,LA,26656,25.21,23.93,3.41,7.98,22031
737,De Witt County,IL,16561,11.17,16.56,0.8,3.17,17039
738,DeKalb County,AL,71109,22.1,24.05,1.82,6.58,1049
739,DeKalb County,GA,691893,17.13,17.06,2.09,4.06,13089
740,DeKalb County,IL,105160,19.16,19.18,2.11,4.21,17037
741,DeKalb County,IN,42223,10.76,24.37,1.93,3.53,18033
742,DeKalb County,MO,12892,14.47,15.01,1.19,1.92,29063
743,DeKalb County,TN,18723,17.2,20.33,1.38,5.27,47041
744,DeSoto County,FL,34862,28.69,17.02,1.51,4.92,12027
745,DeSoto County,MS,161252,9.41,25.63,0.96,2.81,28033
746,DeWitt County,TX,20097,16.24,19.0,1.54,4.38,48123
747,Deaf Smith County,TX,19372,17.49,23.95,1.24,2.94,48117
748,Dearborn County,IN,50047,10.38,23.0,1.44,3.01,18029
749,Decatur County,GA,27842,25.33,18.48,2.01,5.88,13087
750,Decatur County,IA,8457,19.91,20.36,2.84,5.64,19053
751,Decatur County,IN,25740,12.72,21.34,1.26,3.03,18031
752,Decatur County,KS,2961,18.19,10.13,0.71,2.4,20039
753,Decatur County,TN,11757,19.69,19.3,2.01,7.03,47039
754,Deer Lodge County,MT,9298,19.17,14.54,2.58,4.07,30023
755,Defiance County,OH,39037,10.83,21.56,1.84,3.4,39039
756,Del Norte County,CA,28610,21.67,18.39,2.5,4.75,6015
757,Delaware County,IA,17764,8.58,22.12,1.05,1.91,19055
758,Delaware County,IN,117671,24.41,17.47,2.58,4.74,18035
759,Delaware County,NY,47980,15.73,16.34,2.28,4.89,36025
760,Delaware County,OH,174214,4.69,25.98,0.76,1.15,39041
761,Delaware County,OK,41487,19.12,20.63,1.59,5.72,40041
762,Delaware County,PA,558979,10.13,13.58,1.91,2.1,42045
763,Delta County,CO,30952,17.51,19.61,1.57,4.64,8029
764,Delta County,MI,37069,13.23,14.95,1.93,3.69,26041
765,Delta County,TX,5231,22.88,16.23,1.2,2.35,48119
766,Denali Borough,AK,1826,16.95,22.51,1.37,2.46,2068
767,Dent County,MO,15657,20.99,21.01,2.15,5.98,29065
768,Denton County,TX,662614,8.82,20.84,0.7,1.39,48121
769,Denver County,CO,600158,13.89,12.61,1.67,2.13,8031
770,Des Moines County,IA,40325,15.75,17.67,1.97,4.71,19057
771,Deschutes County,OR,157733,10.88,17.92,0.83,3.91,41017
772,Desha County,AR,13008,29.16,22.46,5.87,9.71,5041
773,Deuel County,NE,1941,10.16,10.15,0.93,2.47,31049
774,Deuel County,SD,4364,9.76,19.32,0.32,2.27,46039
775,Dewey County,OK,4810,16.53,21.5,0.71,1.85,40043
776,Dewey County,SD,5301,30.27,24.32,1.62,5.26,46041
777,Dickens County,TX,2444,17.25,11.99,1.19,3.19,48125
778,Dickenson County,VA,15903,24.17,19.99,3.87,8.63,51051
779,Dickey County,ND,5289,5.14,13.97,0.96,0.93,38021
780,Dickinson County,IA,16667,8.01,14.77,1.54,2.23,19059
781,Dickinson County,KS,19754,12.65,19.13,1.86,3.03,20041
782,Dickinson County,MI,26168,13.33,16.18,2.34,4.23,26043
783,Dickson County,TN,49666,14.46,22.37,1.51,4.16,47043
784,Dillingham Census Area,AK,4847,16.93,31.42,11.84,8.19,2070
785,Dillon County,SC,32062,33.91,23.36,3.59,9.77,45033
786,Dimmit County,TX,9996,30.06,26.63,3.19,9.47,48127
787,Dinwiddie County,VA,28001,13.26,21.85,1.48,4.41,51053
788,District of Columbia,DC,601723,17.19,6.67,3.91,2.54,11001
789,Divide County,ND,2071,13.65,9.8,0.63,0.68,38023
790,Dixie County,FL,16422,22.59,17.26,2.92,9.92,12029
791,Dixon County,NE,6000,12.52,25.62,1.3,2.92,31051
792,Doddridge County,WV,8202,15.71,17.96,1.13,4.55,54017
793,Dodge County,GA,21796,23.82,20.92,2.66,6.78,13091
794,Dodge County,MN,20087,5.49,25.61,0.99,1.84,27039
795,Dodge County,NE,36691,13.59,19.14,1.49,3.53,31053
796,Dodge County,WI,88759,8.77,17.32,1.38,2.93,55027
797,Dolores County,CO,2064,13.58,22.38,0.68,3.78,8033
798,Doniphan County,KS,7945,14.39,20.62,1.83,3.17,20043
799,Donley County,TX,3677,14.97,14.55,0.76,2.31,48129
800,Dooly County,GA,14918,25.51,15.67,2.81,7.72,13093
801,Door County,WI,27785,8.3,16.66,1.54,3.13,55029
802,Dorchester County,MD,32618,15.97,18.78,3.4,7.93,24019
803,Dorchester County,SC,136555,12.48,22.07,1.25,3.58,45035
804,Dougherty County,GA,94565,30.83,22.26,4.43,9.32,13095
805,Douglas County,CO,285465,3.53,25.34,0.5,0.55,8035
806,Douglas County,GA,132403,13.07,25.19,1.25,4.1,13097
807,Douglas County,IL,19980,11.13,19.03,3.39,2.96,17041
808,Douglas County,KS,110826,20.61,13.32,1.37,1.54,20045
809,Douglas County,MN,36009,8.25,20.48,1.83,2.07,27041
810,Douglas County,MO,13684,21.25,20.43,1.39,7.59,29067
811,Douglas County,NE,517110,13.27,17.04,1.47,2.33,31055
812,Douglas County,NV,46997,9.1,17.49,0.84,2.29,32005
813,Douglas County,OR,107667,16.2,16.34,1.94,6.9,41019
814,Douglas County,SD,3002,7.44,15.66,0.67,0.87,46043
815,Douglas County,WA,38431,13.4,24.54,1.12,3.83,53017
816,Douglas County,WI,44159,12.5,17.53,2.02,4.12,55031
817,Drew County,AR,18509,21.55,19.7,1.85,4.72,5043
818,DuPage County,IL,916924,6.8,17.38,0.97,1.46,17043
819,Dubois County,IN,41889,10.85,19.41,0.78,1.34,18037
820,Dubuque County,IA,93653,12.12,18.75,1.55,2.67,19061
821,Duchesne County,UT,18607,13.36,26.5,0.54,2.77,49013
822,Dukes County,MA,16535,7.99,15.23,0.81,1.14,25007
823,Dundy County,NE,2008,10.26,13.94,1.0,2.34,31057
824,Dunklin County,MO,31953,27.13,19.01,2.79,8.2,29069
825,Dunn County,ND,3536,8.89,17.51,0.4,1.36,38025
826,Dunn County,WI,43857,13.32,18.61,1.25,3.35,55033
827,Duplin County,NC,58505,24.17,23.54,2.37,6.86,37061
828,Durham County,NC,267587,17.22,17.66,2.13,3.23,37063
829,Dutchess County,NY,297488,9.47,18.27,1.87,2.26,36027
830,Duval County,FL,864263,15.82,17.78,2.15,4.66,12031
831,Duval County,TX,11782,26.56,21.08,2.61,8.88,48131
832,Dyer County,TN,38335,18.63,23.08,1.61,6.42,47045
833,Eagle County,CO,52197,7.27,19.09,0.44,0.73,8037
834,Early County,GA,11008,28.41,22.78,3.03,7.8,13099
835,East Baton Rouge Parish,LA,440171,19.19,18.08,1.86,4.19,22033
836,East Carroll Parish,LA,7759,42.9,22.75,5.08,8.56,22035
